"year","month","day","total_revenue"
2016,3,1,5800256.969978754
2016,3,2,6324906.519975403
2016,3,3,6791409.649973158
2016,3,4,6802582.979971583
2016,3,5,6590767.849969252
2016,3,6,6040227.18997609
2016,3,7,5616165.009980252
2016,3,8,5883520.61997829
2016,3,9,6211732.81997683
2016,3,10,6704486.16997415
2016,3,11,6884004.309971455
2016,3,12,6634459.289969673
2016,3,13,5850207.1999776075
2016,3,14,6040765.899976322
2016,3,15,6112008.829977137
2016,3,16,6527612.699974744
2016,3,17,6692619.839973801
2016,3,18,7090060.599970188
2016,3,19,6565887.9299704665
2016,3,20,6348676.649975436
2016,3,21,5493933.569980427
2016,3,22,5908408.419978334
2016,3,23,6181850.609976977
2016,3,24,6651955.679973422
2016,3,25,6300823.02997358
2016,3,26,5888961.599973202
2016,3,27,5429947.989979228
2016,3,28,5485981.769980413
2016,3,29,5956737.06997766
2016,3,30,6177663.849976611
2016,3,31,6470167.309975309
